DURATION|age_group_cat|count|sum|prop|percent
1|18-29|5|41|0.12195121951219512|12.195121951219512
1|30-39|1|41|0.024390243902439025|2.4390243902439024
1|40-49|2|41|0.04878048780487805|4.878048780487805
1|50-64|15|41|0.36585365853658536|36.58536585365854
1|65-74|6|41|0.14634146341463414|14.634146341463413
1|75-84|8|41|0.1951219512195122|19.51219512195122
1|85+|4|41|0.0975609756097561|9.75609756097561
2|18-29|1|43|0.023255813953488372|2.3255813953488373
2|30-39|8|43|0.18604651162790697|18.6046511627907
2|40-49|2|43|0.046511627906976744|4.651162790697675
2|50-64|10|43|0.23255813953488372|23.25581395348837
2|65-74|10|43|0.23255813953488372|23.25581395348837
2|75-84|7|43|0.16279069767441862|16.27906976744186
2|85+|5|43|0.11627906976744186|11.627906976744185
3|18-29|8|74|0.10810810810810811|10.81081081081081
3|30-39|6|74|0.08108108108108109|8.108108108108109
3|40-49|3|74|0.04054054054054054|4.054054054054054
3|50-64|21|74|0.28378378378378377|28.37837837837838
3|65-74|15|74|0.20270270270270271|20.27027027027027
3|75-84|9|74|0.12162162162162163|12.162162162162163
3|85+|12|74|0.16216216216216217|16.216216216216218
4|18-29|9|177|0.05084745762711865|5.084745762711865
4|30-39|8|177|0.04519774011299435|4.519774011299435
4|40-49|13|177|0.07344632768361582|7.344632768361582
4|50-64|44|177|0.24858757062146894|24.858757062146893
4|65-74|46|177|0.2598870056497175|25.98870056497175
4|75-84|31|177|0.1751412429378531|17.51412429378531
4|85+|26|177|0.14689265536723164|14.689265536723164
5|5-17|2|284|0.007042253521126761|0.7042253521126761
5|18-29|9|284|0.03169014084507042|3.169014084507042
5|30-39|5|284|0.017605633802816902|1.7605633802816902
5|40-49|12|284|0.04225352112676056|4.225352112676056
5|50-64|81|284|0.2852112676056338|28.52112676056338
5|65-74|65|284|0.22887323943661972|22.887323943661972
5|75-84|52|284|0.18309859154929578|18.30985915492958
5|85+|58|284|0.20422535211267606|20.422535211267608
6|18-29|10|285|0.03508771929824561|3.508771929824561
6|30-39|15|285|0.05263157894736842|5.263157894736842
6|40-49|8|285|0.028070175438596492|2.807017543859649
6|50-64|91|285|0.3192982456140351|31.929824561403507
6|65-74|52|285|0.1824561403508772|18.24561403508772
6|75-84|61|285|0.21403508771929824|21.403508771929825
6|85+|48|285|0.16842105263157894|16.842105263157894
7|18-29|9|293|0.030716723549488054|3.0716723549488054
7|30-39|14|293|0.04778156996587031|4.778156996587031
7|40-49|19|293|0.06484641638225255|6.484641638225256
7|50-64|64|293|0.21843003412969283|21.843003412969285
7|65-74|77|293|0.2627986348122867|26.27986348122867
7|75-84|55|293|0.18771331058020477|18.771331058020476
7|85+|55|293|0.18771331058020477|18.771331058020476
8|18-29|7|297|0.02356902356902357|2.356902356902357
8|30-39|6|297|0.020202020202020204|2.0202020202020203
8|40-49|15|297|0.050505050505050504|5.05050505050505
8|50-64|73|297|0.24579124579124578|24.579124579124578
8|65-74|67|297|0.2255892255892256|22.55892255892256
8|75-84|78|297|0.26262626262626265|26.262626262626267
8|85+|51|297|0.1717171717171717|17.17171717171717
9|0-4|2|388|0.005154639175257732|0.5154639175257731
9|5-17|3|388|0.007731958762886598|0.7731958762886598
9|18-29|19|388|0.04896907216494845|4.896907216494846
9|30-39|17|388|0.04381443298969072|4.381443298969072
9|40-49|22|388|0.05670103092783505|5.670103092783505
9|50-64|79|388|0.2036082474226804|20.36082474226804
9|65-74|91|388|0.2345360824742268|23.45360824742268
9|75-84|95|388|0.24484536082474226|24.484536082474225
9|85+|60|388|0.15463917525773196|15.463917525773196
10|0-4|2|594|0.003367003367003367|0.33670033670033667
10|5-17|16|594|0.026936026936026935|2.6936026936026933
10|18-29|44|594|0.07407407407407407|7.4074074074074066
10|30-39|48|594|0.08080808080808081|8.080808080808081
10|40-49|54|594|0.09090909090909091|9.090909090909092
10|50-64|172|594|0.2895622895622896|28.95622895622896
10|65-74|91|594|0.1531986531986532|15.31986531986532
10|75-84|87|594|0.14646464646464646|14.646464646464647
10|85+|80|594|0.13468013468013468|13.468013468013467
11|0-4|10|907|0.011025358324145534|1.1025358324145533
11|5-17|39|907|0.04299889746416759|4.299889746416759
11|18-29|120|907|0.13230429988974643|13.230429988974644
11|30-39|93|907|0.10253583241455347|10.253583241455347
11|40-49|93|907|0.10253583241455347|10.253583241455347
11|50-64|282|907|0.31091510474090406|31.091510474090406
11|65-74|130|907|0.14332965821389196|14.332965821389196
11|75-84|88|907|0.0970231532524807|9.70231532524807
11|85+|52|907|0.05733186328555678|5.733186328555679
12|0-4|19|1407|0.013503909026297086|1.3503909026297085
12|5-17|51|1407|0.03624733475479744|3.624733475479744
12|18-29|178|1407|0.12651030561478321|12.651030561478322
12|30-39|163|1407|0.11584932480454868|11.584932480454867
12|40-49|154|1407|0.10945273631840796|10.945273631840797
12|50-64|417|1407|0.29637526652452023|29.637526652452024
12|65-74|243|1407|0.17270788912579957|17.270788912579956
12|75-84|116|1407|0.0824449182658138|8.24449182658138
12|85+|66|1407|0.046908315565031986|4.690831556503198
13|0-4|20|1898|0.01053740779768177|1.053740779768177
13|5-17|87|1898|0.0458377239199157|4.5837723919915705
13|18-29|260|1898|0.136986301369863|13.698630136986301
13|30-39|204|1898|0.10748155953635406|10.748155953635406
13|40-49|230|1898|0.12118018967334036|12.118018967334036
13|50-64|607|1898|0.3198103266596417|31.98103266596417
13|65-74|272|1898|0.14330874604847207|14.330874604847207
13|75-84|129|1898|0.06796628029504742|6.796628029504742
13|85+|89|1898|0.04689146469968388|4.689146469968388
